bottle_text,consumed,purchased,score,year,importer,producer,country,region,size,wine_type,grapes,cost,store,location,notes
"Telavuri
Marani
White dry wine",4/5/2014,1/25/2014,5.0,2012,Corus LLC,Telavi,Georgia,Kakheti,750ml,White,"Rkatsiteli
Mitsvane
Kisi",$16.00,Batch 13 Spirits,"Logan Circle, DC","Thin, overly sweet, and mild."
"Moulin de Gassac
Guilhem
2013
Pays D'Herault",5/1/2014,3/1/2014,7.0,2013,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,Pink,"20% Syrah
40% Grenache
40% Carignan",$10.00,Cork Wine Store,"Logan Circle, DC",
"Moulin de Gassac
Guilhem
2013
Pays D'Herault",5/1/2014,3/1/2014,7.0,2013,Roanoke Valley Wine Company,Guilhem,France,Languedoc,750ml,Pink,"20% Syrah
40% Grenache
40% Carignan",$10.00,Cork Wine Store,"Logan Circle, DC",
"Alexandro
Manzanilla",5/1/2014,3/15/2014,7.0,2013,Tradewinds Specialty Imports,Alexandro,Spain,Jerez de la Frontera,375ml,Sherry,100% Palomino Fino,$18.00,Batch 13 Spirits,"Logan Circle, DC",At least it's Manzanilla? Much prefer the La Cigarerra version. 
"Occhipinti
SP68
Bianco
Sicilia 2012",5/1/2014,3/15/2014,7.5,2012,Louis/Dressner Selections,Ariana Occhipinti,Italy,Sicilia,750ml,White,"Albanello
Zibbibo",$29.00,Batch 13 Spirits,"Logan Circle, DC",The 2012 version is just not as good as previous years.
"Donkey and Goat
2011 Grenache Noir",5/1/2014,3/29/2014,7.0,2011,,Donkey and Goat,USA,California,750ml,Red,100% Grenache,$29.00,Cordial Wines,"Union Market, DC","Licorice, herbs, lightweight fruit. Some good depth."
"Donkey and Goat
2011 Grenache Blanc",5/1/2014,3/29/2014,6.5,2011,,Donkey and Goat,USA,California,750ml,White,100% Grenache,$29.00,Cordial Wines,"Union Market, DC",Thinner than I expected. Comparatively lightweight. Maybe could use more skin contact?
"Praeger
2006 Aria
Napa Valley
White Port",6/23/2014,10/8/2010,8.0,2006,,Praeger,USA,"St. Helena, CA",750ml,Dessert,100% Chardonnay,$30.00,Praeger Port Works,"St. Helena, CA","Off-dry, waxy and hay. Not as sweet as Sauternes but reminiscent? Like a sweet Fino."
"Edi Simcic
Rebula
2008",7/2/2014,6/30/2014,7.0,2008,Small Vineyards LLC,Edi Simcic,Slovenia,Goriska Brda,750ml,Orange,100% Rebula,$38.00,Smucker Farms of Lancaster County,"Logan Circle, DC","Tea, hay and wax. Some good fruit but mostly very dry."
"Edi Simcic
Malvazija
2010",7/20/2014,7/20/2014,7.5,2010,Small Vineyards LLC,Edi Simcic,Slovenia,Goriska Brda,750ml,Orange,100% Malvazija,$35.00,Smucker Farms of Lancaster County,"Logan Circle, DC",A bit darker and more tannic than the Rebula; more hay and even a little fruit.
"Sono Montenidoli
2013
Montenidoli
Canaiuolo",7/22/2014,7/22/2014,7.0,2013,Grappoli Imports,Montenidoli,Italy,Toscano,750ml,Pink,100% Canaiolo,$32.00,Cork WIne Store,"Logan Circle, DC",A very nice rosato. A light blush pink but properly dry and with some fruit.
Dinavolino,7/25/2014,7/25/2014,8.0,2011,Williams Corner Wines,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$25.00,McArthur Wines,"Palisades, DC","Every single time, this is fantastic. Shared with colleagues at SRCCON in Philadelphia. Barnyard funk, feet, blue cheese, hay, wax and tea."
"Piedrasassi
Central Coast White",7/25/2014,7/25/2014,7.5,2010,,Piedrasassi,USA,Lompoc,750ml,Orange,"95% Sauvignon Blanc
3% Viogner
2% Chardonnay",$25.00,Pearson's Wine and Spirits,"Northwest, DC","Wonderfully dry and tannic. Golden, with tons of tea and dry wet leaves."
"Brooklyn Oenology
2012
Gewurztraminer",7/30/2014,7/26/2014,7.5,2012,,Brooklyn Oenology,USA,New York,750ml,Orange,100% Gewurztraminer,$25.00,Brooklyn Oenology website,"Brooklyn, NY","Lightweight and grassy, with some tannins. Mostly fruit and stone, though. Some light tea flavors?"
"Colutta
Fruiuli
Colli Orientali
Pinot Grigio",8/5/2014,7/15/2014,6.5,2012,"Grappoli Imports, LTD",Colutta,Italy,Fruili,750ml,White,100% Pinot Grigio,$22.00,Cork Wine Store,"Logan Circle, DC",
"Brooklyn Oenology
2012
Gewurztraminer",8/6/2014,7/26/2014,7.5,2012,,Brooklyn Oenology,USA,New York,750ml,Orange,100% Gewurztraminer,$25.00,Brooklyn Oenology website,"Brooklyn, NY","Second time around, I definitely taste more tannins, but this is definitely the lightest wine of this genre I can recall tasting."
"Domaine des Cassagnoles
Reserve Selection
Cotes de Gascogne
2013
Cuvee Gros Manseng",8/6/2014,8/1/2014,7.0,2013,Weygant-Metzler,Domaine des Cassagnoles,France,Gascone,750ml,White,100% Gros Manseng,$18.00,Cork and Fork,"Logan Circle, DC",Spicy white with acid and fruit undertones.
"Les Vignes de Bila-Haut
Cotes du Rousillon",8/8/2014,8/1/2014,6.5,2013,HB Wine Merchants,Bila-Haut,France,Languedoc Roussillon,750ml,White,"Grenache Blanc
Grenache Gris
Macabeu (Vermentino)",$15.00,Smucker Farms of Lancaster County,"Logan Circle, DC",Solid white; good acidity and some fruit.
"Domaine des Baumard
Savennieres",8/10/2014,7/25/2014,6.5,2009,"Vintus, LLC",Domaine des Baumard,France,Loire,750ml,White,100% Chenin Blanc,$20.00,Schneiders of Capitol Hill,"Capitol Hill, DC",Some off-putting flavors I don't remember. Maybe this was an indecent bottle?
"Orgo
Rkatsiteli",8/15/2014,8/3/2014,7.0,2012,Georgian House of Greater Washington,Orgo,Georgia,Kakheti,750ml,Orange,100% Rkatsiteli,$20.00,Batch 13 Spirits,"Logan Circle, DC",A very light version of the Pheasant's Tears; probably the least offensive to a standard palate.
"Conte de Bregonzo
Amarone della Valpolicella",8/18/2014,8/24/2014,4.5,2011,Santini Fine Wines,Conte di Bregonzo,Italy,Tuscany,750ml,Red,Who cares?,$18.00,Trader Joe's,"Logan Circle, DC","Oh, that was terrible. At least it makes a good sangria? Thin, sweet, uncomplicated. A cheap Amarone tastes like a cheap Amarone."
"Chateau Saint-Sulpice
Bordeaux AOC
2010",8/20/2014,7/1/2014,4.0,2010,"Frederick Wildman and Sons, LTD",Chateau Saint-Sulpice,France,Bordeaux,750ml,Red,"70% Merlot
20% Cabernet Sauvignon
10% Cabernet Franc",$18.00,Whole Foods,"Logan Circle, DC",
"Orgo
Saperavi",8/20/2014,8/3/2014,7.0,2012,Georgian House of Greater Washington,Orgo,Georgia,Kakheti,750ml,Red,100% Saperavi,$22.00,Batch 13 Spirits,"Logan Circle, DC","Nice, dry red. Some light fruit but mostly hefty tannins and leafy funk."
"Ilori
Les jonquilles
Irouleguy
Brana",8/20/2014,8/18/2014,7.5,2011,Wine Traditions Limited,Brana,France,Irouleguy,750ml,White,"70% Gros Manseng
30% Petite Corbu",$21.00,Arrowine and Spirits,"Foggy Bottom, DC",Some good mineral and acid.
"Manfred Breit
2012
Riesling
Trocken",8/24/2014,8/16/2014,6.5,2012,"EC Robins International, Inc.",Holger/Breit,Germany,Mosel,1000ml,White,100% Riesling,$20.00,Smucker Farms of Lancaster County,"Logan Circle, DC","Inoffensive, dry, mineral. Not much depth but otherwise completely acceptable."
"2010
Arbois Pupillin
Chardonnay",8/25/2014,8/25/2014,7.5,2010,Weygant-Metzler,Domaine de la Pinte,France,Jura,750ml,White,100% Chardonnay,$25.00,Cordial Wines,"Union Market, DC",A bit sour but strong minerals and good heavy structured fruit.
"Chateau de la Roulerie
2012
Les Terrasses
Chenin Blanc",8/30/2014,8/20/2014,7.0,2012,"Constantine Wines, Inc.",Chateau de la Roulerie,France,Loire,750ml,White,100% Chenin Blanc,$25.00,Cork Wine Store,"Logan Circle, DC","Hefty, but with plenty of fruit to go with the gravel."
"Mouton Cadet
2012
Bordeaux",9/1/2014,8/22/2014,7.5,2012,Constellation Imports,Baron Philippe de Rothschild,France,Bordeaux,750ml,White,"65% Sauvignon Blanc
30% Semillion
5% Muscadelle",$18.00,Batch 13 Spirits,"Logan Circle, DC",Huh. Totally sauv. blanc flavors; some fruit but plenty of bracing acidity.
"2010
Domaine de Montbourgeau
l'Etoile",9/1/2014,8/29/2014,8.0,2010,Rosenthal Wine Merchants,Domaine de Montbourgeau,France,Jura,750ml,White,"95% Chardonnay
5% Savagnin",$22.00,DCanter,"Capitol Hill, DC","Dry, nutty, waxy, some earth and light tea."
"Le Mont
Sec 2012
Domaine Huet
Vouvray",9/10/2014,9/6/2014,7.5,2012,"Vieux Vins, Inc.",Domaine Huet,France,Loire,750ml,White,100% Chenin Blanc,$25.00,Sussex Wine,"Midtown, NYC","Very drinkable. Plenty of acid, fruit and some minerals. Almost oily? Enjoyed it more than the score suggests."
"Getariako Txakolina
Ametzoi
Rubentis",9/14/2014,7/20/2014,7.5,2013,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$25.00,Cork Wine Store,"Logan Circle, DC",Made this bottle into a cocktail for an impromptu picnic. It's even good like that!
"Cuilleron
Rousanne
2012",9/20/2014,9/6/2014,7.0,2012,Rosenthal Wine Merchants,Yves Cuilleron a Chavanay,France,Loire,750ml,White,100% Roussane,$25.00,Sussex Wine,"Midtown, NYC",A touch of oil but mostly good strong fruit and plenty of flinty grass.
"2010
Arbois Pupillin
Chardonnay",9/25/2014,8/25/2014,7.5,2010,Weygant-Metzler,Domaine de la Pinte,France,Jura,750ml,White,100% Chardonnay,$25.00,Cordial Wines,"Union Market, DC",
"Harri Gorri
Pierre rouge
Irouleguy
Brana",10/4/2014,8/18/2014,7.0,2013,Wine Traditions Limited,Brana,France,Irouleguy,750ml,Pink,"70% Cabernet Franc
30% Tannat",$20.00,Arrowine and Spirits,"Foggy Bottom, DC","Sharp and a little tannic, but good fruit and not at all sweet."
Dinavolino,10/16/2014,9/6/2014,8.5,2010,Savio Soares Selections,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$24.00,Passage de la Fleur,"Prospect Heights, Brooklyn",It is so good every time.
"Baccabianca
2006",10/18/2014,9/6/2014,9.0,2006,Peter Morone Selection,Tenuta Grillo,Italy,Piedmonte,750ml,Orange,100% Cortese,$32.00,Passage de la Fleur,"Prospect Heights, Brooklyn",Best wine at the October book club.
"2011
Arbois
Cuvee Sacha
Jacques Puffeney",10/18/2014,9/6/2014,7.5,2011,Rosenthal Wine Merchants,Jacques Puffeney,France,Jura,750ml,White,"65% Savagnin
35% Chardonnay",$32.00,Sussex Wine,"Midtown, NYC",
"Schuchmann
Rkatsiteli",11/20/2014,9/20/2014,6.5,2013,Georgian House of Greater Washington,"Schuchmann Wines Georgia, LTD",Georgia,Kakheti,750ml,Orange,100% Rkatsieli,$12.00,Batch 13 Spirits,"Logan Circle, DC",
"2010
Arbois Pupillin
Chardonnay",11/27/2014,8/25/2014,7.5,2010,Weygant-Metzler,Domaine de la Pinte,France,Jura,750ml,White,100% Chardonnay,$25.00,Cordial Wines,"Union Market, DC",
"Arbois
Chardonnay
La Fauquette
2009",11/27/2014,11/20/2014,8.0,2009,Rosenthal Wine Merchant,Michel Gahier,France,Jura,750ml,White,100% Chardonnay,$30.00,McArthur Wines,"Palisades, DC",
"Cotes du Rhone
2012",11/27/2014,11/20/2014,6.5,2012,Louis/Dressner Selections,Eric Texier,France,Rhone,750ml,White,100% Chardonnay,$17.00,McArthur Wines,"Palisades, DC",
"Domaine des Baumard
Savennieres",11/27/2014,11/26/2014,7.0,2010,Vintus LLC,Domaine des Baumard,France,Loire,750ml,White,100% Chenin Blanc,$22.00,Whole Foods,"Logan Circle, DC",
"Domaine des Baumard
Savennieres",11/27/2014,11/26/2014,7.0,2011,Vintus LLC,Domaine des Baumard,France,Loire,750ml,White,100% Chenin Blanc,$22.00,Whole Foods,"Logan Circle, DC",
"Empreinte
2012
Chardonnay",11/29/2014,11/18/2014,7.5,2012,Potomac Selections,Tissot,France,Jura,750ml,White,100% Chardonnay,$28.00,Arrowine and Spirits,"Foggy Bottom, DC","A touch sour, but minerally and bull of hefty complexity."
"Occhipinti
SP68
Bianco",12/28/2014,11/20/2014,7.0,2013,Louis/Dressner Selections,Arianna Occhipinti,Italy,Sicilia,750ml,White,"Albanello
Zibbibo",$26.00,McArthur Wines,"Palisades, DC","First sip: A touch bitter and a little tight. Heavy mineral, some tannins. Smell is gravel and stone fruit and some light rubber. Second sip: A bit warmer, some honey maybe? The tannins take a while to grip. Third sip: Less mineral and slightly more fruit. I can start to taste the alcohol. Fourth sip: The fruit is gone; there is a nice bitter almond undertone and handfuls of stone and gravel. There's some tea flavors now. Fifth sip: Identical to fourth. This wine needs to be served wamer than fridge temps."
"Schramsberg
Blanc de Noirs
Brut",12/31/2014,12/28/2014,6.5,2010,,Schramsberg,USA,Napa,750ml,Sparkling,"85% Pinot Noir
15% Chardonnay",$30.99,Trader Joe's,"Logan Circle, DC","Better than the Larmandier, but still not something I'd prefer to drink over a nice Jura or something skin-fermented. A little fruit but more eggy toast."
"Champagne
Cramant
Grand Cru
Guy Larmandier",12/31/2014,12/31/2014,6.5,NV,Rosenthal Wine Merchants,Guy Larmandier,France,Champagne,750ml,Sparkling,100% Chardonnay,$69.99,Arrowine and Spirits,"Foggy Bottom, DC","Rich but not terribly bubbly. Some toast. Some egg. It turns out, I don't really like Champagne very much."
"Bibich R5
Riserva",1/1/2015,11/26/2014,7.5,2011,Blue Danube Wine,Bibich,Croatia,North Dalmatia,750ml,Orange,"Debit
Pošip
Maraština
Chardonnay
Pinot Grigio",$20.00,Batch 13 Spirits,"Logan Circle, DC","Strong acid and tannic grip, but never loses the fruit or the barnyard funk. I'm a believer."
"Savennieres
La Jalousie
Domaine du Closel",1/2/2015,11/20/2014,7.5,2011,Louis/Dressner Selections,Domaine du Closel,France,Loire,750ml,White,100% Chenin Blanc,$23.00,McArthur Wines,"Palisades, DC","Flinty and heavy, but there's a little fruit balance there. I like the acid, too. A complete winter white."
"Ageno
2008
La Stoppa",1/3/2015,9/6/2014,9.5,2008,Louis/Dressner Selections,La Stoppa,Italy,Emilia Romania,750ml,Orange,"33% Malvasia di Candida
33% Ortrugo
33% Trebbiano",$40.00,Sussex Wine,"Midtown, NYC","Bright, clear and unbelivable focus. Strong tannins but equally strong fruit to match. Good barnyard tang and some useful funk."
"2012
Argatia",1/8/2015,1/1/2015,6.5,2012,Verity Wine Partners LLC,Argatia,Greece,Macedonia,750ml,White,"45% Assyrtiko
45% Malagouzia
10% Athiri",$24.99,Batch 13 Spirits,"Logan Circle, DC","A little oily, but there's some flowers to help with that. Very little fruit and not nearly enough acid."
"Bibich R5
Riserva",1/16/2015,1/14/2015,7.5,2011,Blue Danube Wine,Bibich,Croatia,North Dalmatia,750ml,Orange,"Debit
Pošip
Maraština
Chardonnay
Pinot Grigio",$20.00,Batch 13 Spirits,"Logan Circle, DC","This bottle had lighter tannins and less barnyard than I remember, but still very good."
"the Bone Yard
Skins
2012
Virginia",1/17/2015,1/17/2015,6.5,2012,,Boneyard Wines,USA,Virginia,750ml,Orange,100% Rkatsiteli,$22.00,Batch 13 Spirits,"Logan Circle, DC","Actually fairly meek when compared to the marketing copy. A very young-tasting Rkatsiteli. Some good fruit but low acidity and very little tannic structure. Sadly, not much funk either."
"Chateau Soucherie
Cuvee Les Rangs de Long
Anjou Blanc
2013",1/18/2015,1/17/2015,7.0,2013,Rosenthal Wine Merchants,Chateau Soucherie,France,Anjou,750ml,White,100% Chenin blanc,$18.00,Cork Wine Store,"Logan Circle, DC",A little too acidic and could use some more body. But nicely gravelly and there's some fruit there.
"Kabaj
Sivi Pinot
2011",1/28/2015,1/25/2015,6.5,2011,Blue Danube Wine Company,Kabaj,Slovenia,Goriska Brda,750ml,Orange,100% Pinto gris,$22.99,Batch 13 Spirits,"Logan Circle, DC","Glad I'm finally tasting some non-excellent orange wines. This one is inoffensive and has almost zero tannins. Very little sour, too."
"Piedrasassi
Syrah",1/28/2015,1/25/2015,7.0,2010,,Piedrasassi,USA,Lompoc,750ml,Red,100% Syrah,$43.99,Batch 13 Spirits,"Logan Circle, DC","Smoky and spicy, but restrained. Would have identified it as a low-fruit Pinot Noir in a blind taste. Almost zero tannins."
"Bibich R5
Riserva",2/5/2015,1/17/2015,7.5,2011,Blue Danube Wine,Bibich,Croatia,North Dalmatia,750ml,Orange,"Debit
Pošip
Maraština
Chardonnay
Pinot Grigio",$20.00,Batch 13 Spirits,"Logan Circle, DC","Yet another tasting of this. It reminds of my favorite Emilia Romagna orange wines with the sour and a touch of funk. But everything is toned down from, say, Dinavolino. It's just that wine turned down to about a 5."
"Arbois
Trousseau
Les Grands Vergers
2013",2/7/2015,11/5/2014,7.5,2013,Rosenthal Wine Merchant,Michel Gahier,France,Jura,750ml,Red,100% Trousseau,$40.00,Arrowine and Spirits,"Foggy Bottom, DC","So much fruit. Blackberry predominantly but also some cherry and other berry flavors. Strangely, also plenty of tannin. Little to no smoke or spice. Nothing like leather. Just berries and tea."
"Gautheron
2012
Chablis
Vielles Vignes",2/13/2015,2/4/2015,7.5,2012,Ansonia Wines,Domaine Gautheron,France,Burgundy,750ml,White,100% Chardonnay,$22.00,Smucker Farms of Lancaster County,"Logan Circle, DC","Much good fruit and acid, but also a little bit of gravelly mineral. Could be darker or more honeyed, but I won't complain."
"War & Rust
Quinquina",2/13/2015,2/13/2015,7.5,NV,,War & Rust,USA,Charlottesville,500ml,Red,"Pinot Noir
Petite Manseng",$30.00,Arrowine and Spirits,"Foggy Bottom, DC","What a cool and interesting idea. An aromatized wine-based aperitif, something between a vermouth and a barolo chinato. Could use some more extracted flavor, but I just adore it."
"Domaine du Salvard
Cheverny
2013",2/14/2015,2/13/2015,8.0,2013,Kermit Lynch,Domaine du Salvard,France,Loire,750ml,White,"85% Sauvignon blanc
15% Chardonnay",$18.00,Arrowine and Spirits,"Foggy Bottom, DC",Rare that a wine with this much fruit on the nose delivers so much of it. Tons of good chalk and oyster shell to go with it. A really great bottle. Upgraded to an 8 after a day in the fridge. What a great bottle.
"Empreinte
2012
Chardonnay",2/19/2015,2/13/2015,8.5,2012,Potomac Selections,Tissot,France,Jura,750ml,White,100% Chardonnay,$28.00,Arrowine and Spirits,"Foggy Bottom, DC",
"Domaine des Baumard
Savennieres",2/21/2015,2/13/2015,7.5,2011,Vintus LLC,Domaine des Baumard,France,Loire,750ml,White,100% Chenin Blanc,$22.00,Whole Foods,"Logan Circle, DC","Flint, mineral and stone. But also some decent acid and fruit? I really like this but it woud be so much better if it was a 2008 or 2005."
Dinavolo,2/24/2015,2/23/2015,9.0,2007,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$32.00,Arrowine and Spirits,"Foggy Bottom, DC","Thick, viscous, funky and tart. Almost some medicinal herbs? Lovely."
"Lawson's Dry Hills
Gewurztraminer
2011",2/27/2015,2/27/2015,6.5,2011,The Country Vintner,Lawson's Dry Hills,New Zealand,Marlborough,750ml,White,100% Gewurztraminer,$19.00,Cork and Fork,"14th Street, DC","Floral and honeyed, perfumed and wide but only an inch deep. Could use more mineral or acid backbone past that first impression."
Dinavolo,3/10/2015,2/23/2015,9.0,2007,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$32.00,Arrowine and Spirits,"Foggy Bottom, DC",
Dinavolino,3/14/2015,2/23/2015,8.5,2012,Williams Corner Wine,Denavolo,Italy,Emilia Romania,750ml,Orange,"25% Malvasia di Candia Aromatica
25% Marsanne
25% Ortrugo (Trebbiano di Tortona)
25% unidentified",$24.00,Arrowine and Spirits,"Foggy Bottom, DC","So good; tangy, tannic and delicious. Paired with a crazy bottarga risotto with Alicia Parlapiano."
"Mas Des Dames
La Dame
2011",3/15/2015,12/4/2014,7.0,2011,Vintage '59 Imports,Mas De Dames,France,Languedoc,750ml,Red,"50% Grenache
30% Carignan
20% Syrah",$23.00,Arrowine and Spirits,"Foggy Bottom, DC","Red. Berries. Etc. Maybe a little earth, but definitely low-tannin."
Rose de Diel,3/17/2015,3/17/2015,7.0,2013,Michael Skurnik Wines,Schlossgut Diel,Germany,Nahe,750ml,Pink,100% Pinot Noir,$35.00,Cork Wine Store,"14th Street, DC",Eh. Rose flavored. Almost petillant. But the first rose of the spring? That's worth a 7.0.
"Domaine du Salvard
Cheverny
2013",3/21/2015,3/13/2015,8.0,2013,Kermit Lynch,Domaine du Salvard,France,Loire,750ml,White,"85% Sauvignon blanc
15% Chardonnay",$18.00,Arrowine and Spirits,"Foggy Bottom, DC",
"Les Dauphins
Cotes du Rhone
Reserve",3/21/2015,3/21/2015,7.5,2013,Touton Selections,Cellier des Dauphins,France,Rhone,750ml,Pink,"10% Cinsault,
80% Grenache
10% Syrah",$12.00,Batch 13 Spirits,"14th Street, DC",I should buy more of this.
"Getariako Txakolina
Ametzoi
Rubentis",3/22/2015,3/21/2015,7.5,2013,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$21.00,Cork Wine Store,"14th Street, DC",Always a good bottle. A little sparkle really makes it interesting.
"Fiefs Vendeens
Mareuil
J. Mourat",3/25/2015,3/22/2015,7.5,2014,Williams Corner Wine,J. Mourat,France,Vendee,750ml,Pink,"Pinot Noir
Cabernet Franc
Négrette
Gamay Noir",$16.00,Cork and Fork,"14th Street, DC","Nice and dry, some fruit but mostly acid. Compared to my winter whites, I would like more structure, but I'm excited to be tasting spring in a bottle."
"Lioco
Indica",3/31/2015,3/27/2015,7.5,2014,,Lioco,USA,"Santa Rosa, CA",750ml,Pink,100% Carignan,$20.00,Arrowine and Spirits,"Foggy Bottom, DC","Nice and dry. Good acidity. Very little fruit up front, but eventually a little bit of berry through the tangy."
"Baccabianca
2006",4/4/2015,2/10/2015,9.0,2006,Peter Morone Selection,Tenuta Grillo,Italy,Piedmonte,750ml,Orange,100% Cortese,$32.00,Passage de la Fleur,"Prospect Heights, Brooklyn","Smells a little like sherry -- oxidized, yeasty -- at the first sniff. But it's all tannin and good sour fruit from there."
"Commanderie de Peyrassol
Cotes de Provence
2014",4/4/2015,3/27/2015,7.0,2014,Rosenthal Wine Merchants,Commanderie de Peyrassol,France,Cotes de Provence,750ml,Pink,"Cinsault
Grenache
Syrah",$25.00,Arrowine and Spirits,"Foggy Bottom, DC",It's good. But it's not as acidic or as fruity as it could be. My $12 roses have been better this year.
"Podere
Castorani
Cadetto",4/10/2015,3/22/2015,7.5,2013,Touton Selections,Castorani,Italy,Abruzzo,750ml,Pink,100% Montepulciano de Abruzzo,$16.00,Cork and Fork,"14th Street, DC","A little sweeter than I tend to like, it's got plenty of bracing acidity. I love rose season."
"Les Dauphins
Cotes du Rhone
Reserve",4/10/2015,4/4/2015,7.0,2013,Touton Selections,Cellier des Dauphins,France,Rhone,750ml,Pink,"10% Cinsault,
80% Grenache
10% Syrah",$12.00,Batch 13 Spirits,"14th Street, DC",A totally acceptable rose. Remind me why people pay $25 for a bottle like this again?
"Fiefs Vendeens
Mareuil
J. Mourat",4/15/2015,4/10/2015,7.5,2014,Williams Corner Wine,J. Mourat,France,Vendee,750ml,Pink,"Pinot Noir
Cabernet Franc
Négrette
Gamay Noir",$16.00,Cork and Fork,"14th Street, DC",A little less acid than comparable roses we've been drinking. I like it.
"Sauvignon
Touraine
Xavier Frissant",4/27/2015,4/26/2015,7.0,2012,Serge Dore Selections,Xavier Frissant,France,Loire,750ml,White,100% Sauvignon Blanc,$17.00,Cork and Fork,"14 Street, DC",Strong fruit notes but with plenty of acidity and a good bass line of wet gravel and some light chalk.
"Getariako Txakolina
Ametzoi
Rubentis",4/29/2015,3/21/2015,7.5,2013,De Maison Selections,Ameztoi,Spain,Getaria,750ml,Pink,"50% Hondarribi Beltza
50% Hondarribi Zuri",$21.00,Cork Wine Store,"14th Street, DC","God, I love spring."
"Marco de Bartoli
Grillo
2008
Integer",5/1/2015,4/29/2015,9.0,2008,Louis/Dressner Selections,Marco de Bartoli,Italy,Sicilia,750ml,Orange,100% Grillo,$23.00,Chambers Street Wines,"Manhattan, NY","My goodness! Plenty of citrusy acid and grippy tanins. Like an Arnold Palmer! Bright lemon peel and citrus to start, finishing long and waxy with hay and black tea."
Chateau Pigoudet,5/5/2015,4/26/2015,7.5,2014,Oslo Enterprise,Chateau Pigoudet,France,Coteaux d'Aix en Provence,750ml,Pink,"65% Grenache
25% Cinesault
10% Ugni Blanc",$23.00,Cork and Fork,"14th Street, DC","Much more fully-flavored than you'd expect; time on the lees sucks the pigment out of the product, resulting in a very pale pink."
"Domaine Laguerre
Oxy",5/7/2015,4/29/2015,8.5,NV,Fruit of the Vines Inc,Domaine Laguerre,France,Roussillon,750ml,White,100% Grenache Blanc,$27.00,Chambers Street Wines,"Manhattan, NY","Sherry meets Savennieres. Nutty, oxidized, yeasty. Yet, within that, some acid, some fruit and a strong gravel note."
"Commanderie
de
Peyrassol",5/9/2015,5/8/2015,7.5,2014,Rosenthal Wine Merchants,Commanderie de Peyrassol,France,Cotes de Provence,750ml,Pink,"Cinsault
Grenache
Syrah",$24.00,Cork Wine Store,"14th Street, DC","Still a very good rose. Not sure it's $10 better than the other ones we drink, but it's very good."
"Croix Picot
2010
Savennieres",5/13/2015,4/19/2015,9.0,2012,Rosenthal Wine Merchants,Chateau de L'Eperonniere,France,Anjou,750ml,White,100% Chenin Blanc,$25.00,Southern Season,"Raleigh, NC","Bracing, fantastic acidity levened by some heavy minerals and the lightest touch of floral fruit."
"Fiefs Vendeens
Mareuil
J. Mourat",5/16/2015,4/10/2015,7.5,2014,Williams Corner Wine,J. Mourat,France,Vendee,750ml,Pink,"Pinot Noir
Cabernet Franc
Négrette
Gamay Noir",$16.00,Cork and Fork,"14th Street, DC","An excellent, slightly acidic rose. Maybe needs a little more fruit or mineral to help cut the acid?"
"Domaine Guindon
Muscadet
Coteaux de la Loire",5/17/2015,3/22/2015,7.5,2013,Potomac Selections,Domaine Guindon,France,Loire,750ml,White,100% Melon de Burgogne,$13.00,Cork Wine Store,"14th Street, DC","Great example of the genre. Some fruit, some floral smell, good gravel and a touch of acid at the end. Not a ton of depth."
"COS
Rami",5/20/2015,5/9/2015,8.0,2013,Domaine Select Wine Estates,COS,Italy,Sicilia,750ml,Orange,100% Rami,$35.00,Eataly Wine Store,"Flatiron, NYC",Excellent orange with tons of fruit. A little copper tinge gives way to plenty of warm acid and interesting dusky notes.
"2014
Domaine du Bagnol
Cassis",5/22/2015,5/22/2015,7.5,2014,Rosenthal Wine Merchants,Domaine du Bagnol,France,Provence,750ml,Pink,"55% Grenache
31% Mouvedre
14% Cinesault",$30.00,Arrowine and Spirits,"Foggy Bottom, DC","Very much a fine specimen, though tough to believe it's twice as expensive. BCFWNB."
Il Rose Di Casanova,5/22/2015,5/22/2015,7.5,2014,Indigenous Selections LLC,Casanova Della Spinetta,Italy,Toscano,750ml,Pink,"50% Sangiovese
50% Prugnolo Gentile",$20.00,Arrowine and Spirits,"Foggy Bottom, DC",Pale copper color but much more muscular flavor than you'd expect. BCFWNB.
